CompetitionID,MatchID,MatchType,MatchDate,MatchDateNew,MatchName,MatchTime,Day/Night,GMTMatchTime,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,FirstBattingSummary,SecondBattingSummary,MATCH_COMMENCE_START_DATE,city,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,RowNo,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,CurrentInnings,1Summary,2Summary,WinningTeamID,MatchType2,MatchOrder,RevisedOver,RevisedTarget,MatchRow,Season,HomeTeamColor1,HomeTeamColor2,AwayTeamColor1,AwayTeamColor2,MATCH_NO_OF_OVERS,CompetitionName,MOM,MOM_TYPE,MOMPlayerId,MOMRuns,MOMBalls,MOMWicket,MOMRC,MOMImage,KO
148,1372,T20 (N),06-04-2024,06-Apr-24,Rajasthan Royals vs Royal Challengers Bangalore,19:30,Night,14:00 GMT,19,Royal Challengers Bangalore,18,Rajasthan Royals,RCB,RR,20,Sawai Mansingh Stadium,Rajasthan Royals Won by 6  Wickets ,Rajasthan Royals,Rajasthan Royals Won The Toss And Elected To Field, Won The Toss And Elected To Field,183/3 (20.0 Ov),189/4 (19.1 Ov),06-04-2024 19:30,Jaipur,363,61,221,87,18,Rajasthan Royals,19,Royal Challengers Bangalore,Asia/Kolkata,06-Apr-24,23:30,19,Tapan Balwant Sharma,Alex Wharf,Madanagopal Jayaraman,Rajasthan Royals Won By 6  Wickets ,https://scores.iplt20.com/ipl/teamlogos/aFPMviEPyJ1710927747rcb.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,2.0,183/3 (20.0 Overs),189/4 (19.1 Overs),18.0,Regular,Match 19,,,19,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Jos Buttler,Batting,182.0,100,58,-,-,https://scores.iplt20.com/ipl/playerimages/VzYJy6Vkaf1712560897182.png,
148,1371,T20 (N),05-04-2024,05-Apr-24,Sunrisers Hyderabad vs Chennai Super Kings,19:30,Night,14:00 GMT,13,Chennai Super Kings,20,Sunrisers Hyderabad,CSK,SRH,13,Rajiv Gandhi International Stadium,Sunrisers Hyderabad Won by 6  Wickets ,Sunrisers Hyderabad,Sunrisers Hyderabad Won The Toss And Elected To Field, Won The Toss And Elected To Field,165/5 (20.0 Ov),166/4 (18.1 Ov),05-04-2024 19:30,Hyderabad,261,354,352,88,20,Sunrisers Hyderabad,13,Chennai Super Kings,Asia/Kolkata,05-Apr-24,23:30,18,Rohan Pandit,Yeshwant Barde,Bruce Oxenford,Sunrisers Hyderabad Won By 6  Wickets ,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/teamlogos/SRH.png,2.0,165/5 (20.0 Overs),166/4 (18.1 Overs),20.0,Regular,Match 18,,,18,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Abhishek Sharma,Batting,212.0,37,12,0,7,https://scores.iplt20.com/ipl/playerimages/dQpGnjmPeu1711172702212.png,
148,1370,T20 (N),04-04-2024,04-Apr-24,Gujarat Titans vs Punjab Kings,19:30,Night,14:00 GMT,35,Gujarat Titans,15,Punjab Kings,GT,PBKS,55,Narendra Modi Stadium,Punjab Kings Won by 3  Wickets ,Punjab Kings,Punjab Kings Won The Toss And Elected To Field, Won The Toss And Elected To Field,199/4 (20.0 Ov),200/7 (19.5 Ov),04-04-2024 19:30,Ahmedabad,77,42,87,86,35,Gujarat Titans,15,Punjab Kings,Asia/Kolkata,04-Apr-24,23:30,17,Vineet Kulkarni,Nitin Menon,Virender Kumar Sharma,Punjab Kings Won By 3  Wickets ,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,2.0,199/4 (20.0 Overs),200/7 (19.5 Overs),15.0,Regular,Match 17,,,17,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Shashank Singh,Batting,191.0,61,29,-,-,https://scores.iplt20.com/ipl/playerimages/sL3P8qAVv41711170317191.png,
148,1369,T20 (N),03-04-2024,03-Apr-24,Delhi Capitals vs Kolkata Knight Riders,19:30,Night,14:00 GMT,16,Kolkata Knight Riders,14,Delhi Capitals,KKR,DC,11,Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kolkata Knight Riders Won by 106  Runs ,Kolkata Knight Riders,Kolkata Knight Riders Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,272/7 (20.0 Ov),166/10 (17.2 Ov),03-04-2024 19:30,Visakhapatnam,314,526,27,92,14,Delhi Capitals,16,Kolkata Knight Riders,Asia/Kolkata,03-Apr-24,23:30,16,Ulhas Gandhe,AKSHAY TOTRE,Kumar Dharmasena,Kolkata Knight Riders Won By 106  Runs ,https://scores.iplt20.com/ipl/teamlogos/KKR.png,https://scores.iplt20.com/ipl/teamlogos/DC.png,2.0,272/7 (20.0 Overs),166/10 (17.2 Overs),16.0,Regular,Match 16,,,16,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Sunil Narine,,156.0,85,39,1,29,https://scores.iplt20.com/ipl/playerimages/3SpsGTCTap1711106395156.png,
148,1368,T20 (N),02-04-2024,02-Apr-24,Royal Challengers Bangalore vs Lucknow Super Giants,19:30,Night,14:00 GMT,77,Lucknow Super Giants,19,Royal Challengers Bangalore,LSG,RCB,12,M Chinnaswamy Stadium,Lucknow Super Giants Won by 28  Runs ,Royal Challengers Bangalore,Royal Challengers Bangalore Won The Toss And Elected To Field, Won The Toss And Elected To Field,181/5 (20.0 Ov),153/10 (19.4 Ov),02-04-2024 19:30,Bengaluru,221,95,61,87,19,Royal Challengers Bangalore,77,Lucknow Super Giants,Asia/Kolkata,02-Apr-24,23:30,15,Madanagopal Jayaraman,Nikhil Patwardhan,Alex Wharf,Lucknow Super Giants Won By 28  Runs ,https://scores.iplt20.com/ipl/teamlogos/gPLvfvSC1X1711457972LSG.png,https://scores.iplt20.com/ipl/teamlogos/aFPMviEPyJ1710927747rcb.png,2.0,181/5 (20.0 Overs),153/10 (19.4 Overs),77.0,Regular,Match 15,,,15,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Mayank Yadav,Bowling,987.0,-,-,3,14,https://scores.iplt20.com/ipl/playerimages/amTBliCBsC1711262331987.png,
148,1367,T20 (N),01-04-2024,01-Apr-24,Mumbai Indians vs Rajasthan Royals,19:30,Night,14:00 GMT,17,Mumbai Indians,18,Rajasthan Royals,MI,RR,21,Wankhede Stadium,Rajasthan Royals Won by 6  Wickets ,Rajasthan Royals,Rajasthan Royals Won The Toss And Elected To Field, Won The Toss And Elected To Field,125/9 (20.0 Ov),127/4 (15.3 Ov),01-04-2024 19:30,Mumbai,354,455,352,88,17,Mumbai Indians,18,Rajasthan Royals,Asia/Kolkata,01-Apr-24,23:30,14,Yeshwant Barde,Sai Darshan Kumar,Bruce Oxenford,Rajasthan Royals Won By 6  Wickets ,https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,2.0,125/9 (20.0 Overs),127/4 (15.3 Overs),18.0,Regular,Match 14,,,14,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Trent Boult,Bowling,66.0,-,-,3,22,https://scores.iplt20.com/ipl/playerimages/pc2CYOhYtu171256108666.png,
148,1366,T20 (N),31-03-2024,31-Mar-24,Delhi Capitals vs Chennai Super Kings,19:30,Night,14:00 GMT,14,Delhi Capitals,13,Chennai Super Kings,DC,CSK,11,Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals Won by 20  Runs ,Delhi Capitals,Delhi Capitals Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,191/5 (20.0 Ov),171/6 (20.0 Ov),31-03-2024 19:30,Visakhapatnam,27,527,159,92,14,Delhi Capitals,13,Chennai Super Kings,Asia/Kolkata,31-Mar-24,23:30,13,Kumar Dharmasena,VINOD SESHAN,KN Ananthapadmanabhan,Delhi Capitals Won By 20  Runs ,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/teamlogos/CSK.png,2.0,191/5 (20.0 Overs),171/6 (20.0 Overs),14.0,Regular,Match 13,,,13,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Khaleel Ahmed,Bowling,8.0,-,-,2,21,https://scores.iplt20.com/ipl/playerimages/8fYU7gFN2517111714428.png,
148,1365,T20 D/N,31-03-2024,31-Mar-24,Gujarat Titans vs Sunrisers Hyderabad,15:30,Day,10:00 GMT,20,Sunrisers Hyderabad,35,Gujarat Titans,SRH,GT,55,Narendra Modi Stadium,Gujarat Titans Won by 7  Wickets ,Sunrisers Hyderabad,Sunrisers Hyderabad Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,162/8 (20.0 Ov),168/3 (19.1 Ov),31-03-2024 15:30,Ahmedabad,87,525,42,86,35,Gujarat Titans,20,Sunrisers Hyderabad,Asia/Kolkata,31-Mar-24,19:30,12,Virender Kumar Sharma,Khalid Saiyed,Nitin Menon,Gujarat Titans Won By 7  Wickets ,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,2.0,162/8 (20.0 Overs),168/3 (19.1 Overs),35.0,Regular,Match 12,,,12,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Mohit Sharma,Bowling,100.0,-,-,3,25,https://scores.iplt20.com/ipl/playerimages/fCTMuvjb7Q1711262710100.png,
148,1364,T20 (N),30-03-2024,30-Mar-24,Lucknow Super Giants vs Punjab Kings,19:30,Night,14:00 GMT,77,Lucknow Super Giants,15,Punjab Kings,LSG,PBKS,49,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants Won by 21  Runs ,Lucknow Super Giants,Lucknow Super Giants Won The Toss And Elected To Bat, Won The Toss And Elected To Bat,199/8 (20.0 Ov),178/5 (20.0 Ov),30-03-2024 19:30,Lucknow,129,221,61,87,77,Lucknow Super Giants,15,Punjab Kings,Asia/Kolkata,30-Mar-24,23:30,11,Navdeep Singh,Madanagopal Jayaraman,Alex Wharf,Lucknow Super Giants Won By 21  Runs ,https://scores.iplt20.com/ipl/teamlogos/gPLvfvSC1X1711457972LSG.png,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,2.0,199/8 (20.0 Overs),178/5 (20.0 Overs),77.0,Regular,Match 11,,,11,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Mayank Yadav,Bowling,987.0,-,-,3,27,https://scores.iplt20.com/ipl/playerimages/amTBliCBsC1711262331987.png,
148,1363,T20 (N),29-03-2024,29-Mar-24,Royal Challengers Bangalore vs Kolkata Knight Riders,19:30,Night,14:00 GMT,19,Royal Challengers Bangalore,16,Kolkata Knight Riders,RCB,KKR,12,M Chinnaswamy Stadium,Kolkata Knight Riders Won by 7  Wickets ,Kolkata Knight Riders,Kolkata Knight Riders Won The Toss And Elected To Field, Won The Toss And Elected To Field,182/6 (20.0 Ov),186/3 (16.5 Ov),29-03-2024 19:30,Bengaluru,261,44,352,88,19,Royal Challengers Bangalore,16,Kolkata Knight Riders,Asia/Kolkata,29-Mar-24,23:30,10,Rohan Pandit,Anil Chaudhary,Bruce Oxenford,Kolkata Knight Riders Won By 7  Wickets ,https://scores.iplt20.com/ipl/teamlogos/aFPMviEPyJ1710927747rcb.png,https://scores.iplt20.com/ipl/teamlogos/KKR.png,2.0,182/6 (20.0 Overs),186/3 (16.5 Overs),16.0,Regular,Match 10,,,10,2024,#319490,#df7317,#319490,#df7317,20,Tata Ipl 2024,Sunil Narine,Batting/Bowling,156.0,47,22,1,40,https://scores.iplt20.com/ipl/playerimages/3SpsGTCTap1711106395156.png,
