BallID,BallUniqueID,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,StrikerID,NonStrikerID,BatsManName,BowlerID,BowlerName,BowlerType,OverNo,OverName,BallNo,Runs,BallRuns,RunsText,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,VideoFile,IsBowlerWicket,CommentOver,BallName,CommentStrikers,NewCommentry,Commentry,UPDCommentry,Day,SESSION_NO,IsExtra,OutBatsManID,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,HatCheck,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick
2577DADC-4DC3-4C14-9F9A-669E17C439C6,600591,1,1804,1,18,Rajasthan Royals,2020-100mb00000000533-e895f279639811,2019-100mb00000000190-c62cbae544b711,Yashasvi Jaiswal,2023-100mb00000002518-9a5f0c5357b311,Spencer Johnson,,1,One,1,4,4,Four,4,0,0,0,0,0,0,0,0,0,1,0,0,,,RRVSKKR26032025-RR-Inn1-Over1-Ball1.mp4,0,Over 0.1,0.1,Spencer Johnson TO Yashasvi Jaiswal,Spencer Johnson to Yashasvi Jaiswal - FOUR RUNS !!!,"Spencer Johnson bowling to Yashasvi Jaiswal, short length ball, pitching outside off stump, Yashasvi Jaiswal uncomfortably  plays an aggressive pull shot on the back foot for 4 runs","<p>Spencer Johnson bowling to Yashasvi Jaiswal,<span style=""color:#ff0099""><strong>TOP EDGE... SKY-HIGH... AND SAFE!!&nbsp; </strong></span>short length ball, pitching outside off stump, Yashasvi Jaiswal doesn&rsquo;t hold back &mdash; throws the hands, goes for the pull, but all he manages is a <strong>fat top edge</strong> that takes off like a drone in Guwahati&rsquo;s night sky!The keeper turns, fine leg&rsquo;s charging in, and for a moment&hellip; <strong>you could hear a pin drop.</strong>But the ball lands just short of the ropes &mdash; <strong>safe! Just safe!</strong></p>
",1,1,0,,600591,-26.50,-156.50,4,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2025/Rajasthan-Royals-VS-Kolkata-Knight-Riders-(26-Mar-2025)/File_1-1-600591.jpg,38,STRAIGHT BALL,58,BACKFOOT PULL SHOT,0,0,1,0,4,0,Outside Off stump,Short Length,1,2023-100mb00000002518-9a5f0c5357b311 - 0,0,0,0,0,0,0,0
070B42BA-034C-4F5B-8764-0278ECF4B38C,600592,2,1804,1,18,Rajasthan Royals,2020-100mb00000000533-e895f279639811,2019-100mb00000000190-c62cbae544b711,Yashasvi Jaiswal,2023-100mb00000002518-9a5f0c5357b311,Spencer Johnson,,1,One,2,0,0,Zero,0,0,0,0,1,0,0,0,0,0,0,0,0,,,RRVSKKR26032025-RR-Inn1-Over1-Ball2.mp4,0,Over 0.2,0.2,Spencer Johnson TO Yashasvi Jaiswal,Spencer Johnson to Yashasvi Jaiswal - DOT BALL !!!,"Spencer Johnson bowling to Yashasvi Jaiswal, short of good length ball, pitching outside off stump, Yashasvi Jaiswal plays an aggressive cover drive on the back foot and is beaten","Spencer Johnson bowling to Yashasvi Jaiswal, short of good length ball, pitching outside off stump, Yashasvi Jaiswal plays an aggressive cover drive on the back foot and is beaten",1,1,0,,600592,-26.50,-156.50,0,0,,42,OUTSWINGER,52,BACKFOOT COVERDRIVE,0,0,2,0,4,0,Outside Off stump,Short of Good Length,0,2023-100mb00000002518-9a5f0c5357b311 - 0,0,0,0,0,0,0,0
FD829211-0B90-4390-9CAF-DAF45BE0F848,600593,3,1804,1,18,Rajasthan Royals,2020-100mb00000000533-e895f279639811,2019-100mb00000000190-c62cbae544b711,Yashasvi Jaiswal,2023-100mb00000002518-9a5f0c5357b311,Spencer Johnson,,1,One,3,1,1,One,1,1,0,0,0,0,0,0,0,0,0,0,0,,,RRVSKKR26032025-RR-Inn1-Over1-Ball3.mp4,0,Over 0.3,0.3,Spencer Johnson TO Yashasvi Jaiswal,Spencer Johnson to Yashasvi Jaiswal -  ONE RUN !!!,"Spencer Johnson bowling to Yashasvi Jaiswal, short of good length ball, pitching outside off stump, Yashasvi Jaiswal uncomfortably  plays a defensive back foot push for a single","Spencer Johnson bowling to Yashasvi Jaiswal, short of good length ball, pitching outside off stump, Yashasvi Jaiswal uncomfortably  plays a defensive back foot push for a single",1,1,0,,600593,63.50,10.50,1,0,,41,INSWINGER,97,BACKFOOT PUSH,0,0,3,0,5,0,Outside Off stump,Short of Good Length,0,2023-100mb00000002518-9a5f0c5357b311 - 0,0,0,0,0,0,0,0
F077565D-5F16-4C0F-83E6-A39C283313E5,600594,4,1804,1,18,Rajasthan Royals,2019-100mb00000000190-c62cbae544b711,2020-100mb00000000533-e895f279639811,Sanju Samson,2023-100mb00000002518-9a5f0c5357b311,Spencer Johnson,,1,One,4,0,0,Zero,0,0,0,0,1,0,0,0,0,0,0,0,0,,,RRVSKKR26032025-RR-Inn1-Over1-Ball4.mp4,0,Over 0.4,0.4,Spencer Johnson TO Sanju Samson,Spencer Johnson to Sanju Samson - DOT BALL !!!,"Spencer Johnson bowling to Sanju Samson, good length ball, pitching outside off stump, Sanju Samson plays a defensive forward push, no run towards Covers","Spencer Johnson bowling to Sanju Samson, good length ball, pitching outside off stump, Sanju Samson plays a defensive forward push, no run towards Covers",1,1,0,,600594,-86.00,34.00,0,0,,30,ANGLED ACROSS,27,FORWARD PUSH,0,0,4,0,5,0,Outside Off stump,Good Length,0,2023-100mb00000002518-9a5f0c5357b311 - 0,0,0,0,0,0,0,0
8927E059-39F7-409F-94AD-DF151D784DB6,600595,5,1804,1,18,Rajasthan Royals,2019-100mb00000000190-c62cbae544b711,2020-100mb00000000533-e895f279639811,Sanju Samson,2023-100mb00000002518-9a5f0c5357b311,Spencer Johnson,,1,One,5,0,0,Zero,0,0,0,0,1,0,0,0,0,0,0,0,0,,,RRVSKKR26032025-RR-Inn1-Over1-Ball5.mp4,0,Over 0.5,0.5,Spencer Johnson TO Sanju Samson,Spencer Johnson to Sanju Samson - DOT BALL !!!,"Spencer Johnson bowling to Sanju Samson, good length ball, pitching on leg stump, Sanju Samson plays a forward defensive shot and is beaten","Spencer Johnson bowling to Sanju Samson, good length ball, pitching on leg stump, Sanju Samson plays a forward defensive shot and is beaten",1,1,0,,600595,-86.00,34.00,0,0,,42,OUTSWINGER,49,FORWARD DEFENCE,0,0,5,0,5,0,Leg stump,Good Length,0,2023-100mb00000002518-9a5f0c5357b311 - 0,0,0,0,0,0,0,0
47075427-FED4-4787-B648-F9047DEBB652,600596,6,1804,1,18,Rajasthan Royals,2019-100mb00000000190-c62cbae544b711,2020-100mb00000000533-e895f279639811,Sanju Samson,2023-100mb00000002518-9a5f0c5357b311,Spencer Johnson,,1,One,6,4,4,Four,4,0,0,0,0,0,0,0,0,0,1,0,0,,,RRVSKKR26032025-RR-Inn1-Over1-Ball6.mp4,0,Over 0.6,0.6,Spencer Johnson TO Sanju Samson,Spencer Johnson to Sanju Samson - FOUR RUNS !!!,"Spencer Johnson bowling to Sanju Samson, full length ball, pitching outside off stump, Sanju Samson aggressively plays a square drive on the front foot for 4 runs towards Deep Backward Point","<p>Spencer Johnson bowling to Sanju Samson, <span style=""color:#ff0099""><strong>CLASS FROM SUPER SANJU</strong></span> full length ball, pitching outside off stump, Sanju&nbsp;Samson&rsquo;s too good to miss out on that buffet ball.Waits deep in the crease, opens the bat face like a sculptor with a chisel and just slices it past backward point with surgical precision!</p>
",1,1,0,,600596,-166.50,-66.50,4,0,,30,ANGLED ACROSS,59,FRONTFOOT SQUARE DRIVE,0,0,6,0,9,0,Outside Off stump,Full Length,0,2023-100mb00000002518-9a5f0c5357b311 - 0,0,0,0,0,0,0,0
BC5149FE-59C8-4F03-87DD-81FDDE0B178E,600597,1,1804,1,18,Rajasthan Royals,2020-100mb00000000533-e895f279639811,2019-100mb00000000190-c62cbae544b711,Yashasvi Jaiswal,2021-100mb00000000583-8f4c0c4491dd11,Vaibhav Arora,,2,Two,1,1,1,One,1,1,0,0,0,0,0,0,0,0,0,0,0,,,RRVSKKR26032025-RR-Inn1-Over2-Ball1.mp4,0,Over 1.1,1.1,Vaibhav Arora TO Yashasvi Jaiswal,Vaibhav Arora to Yashasvi Jaiswal -  ONE RUN !!!,"Vaibhav Arora bowling to Yashasvi Jaiswal, short of good length ball, pitching outside leg stump, Yashasvi Jaiswal plays a defensive back foot push for a single towards Mid-Wicket","Vaibhav Arora bowling to Yashasvi Jaiswal, short of good length ball, pitching outside leg stump, Yashasvi Jaiswal plays a defensive back foot push for a single towards Mid-Wicket",1,1,0,,600597,-120.00,33.00,1,0,,38,STRAIGHT BALL,97,BACKFOOT PUSH,0,0,1,1,10,0,Outside Leg stump,Short of Good Length,1,2021-100mb00000000583-8f4c0c4491dd11 - 0,0,0,0,0,0,0,0
915C62B7-4E7D-4524-93FF-D5DA5958DF46,600598,2,1804,1,18,Rajasthan Royals,2019-100mb00000000190-c62cbae544b711,2020-100mb00000000533-e895f279639811,Sanju Samson,2021-100mb00000000583-8f4c0c4491dd11,Vaibhav Arora,,2,Two,2,0,0,Zero,0,0,0,0,1,0,0,0,0,0,0,0,0,,,RRVSKKR26032025-RR-Inn1-Over2-Ball2.mp4,0,Over 1.2,1.2,Vaibhav Arora TO Sanju Samson,Vaibhav Arora to Sanju Samson - DOT BALL !!!,"Vaibhav Arora bowling to Sanju Samson, short of good length ball, pitching outside off stump, Sanju Samson uncomfortably  plays an aggressive cover drive on the back foot, no run","Vaibhav Arora bowling to Sanju Samson, short of good length ball, pitching outside off stump, Sanju Samson uncomfortably  plays an aggressive cover drive on the back foot, no run",1,1,0,,600598,-67.00,34.00,0,0,,41,INSWINGER,52,BACKFOOT COVERDRIVE,0,0,2,1,10,0,Outside Off stump,Short of Good Length,0,2021-100mb00000000583-8f4c0c4491dd11 - 0,0,0,0,0,0,0,0
795BFF6A-2356-40FE-A3BB-272DD1277F41,600599,3,1804,1,18,Rajasthan Royals,2019-100mb00000000190-c62cbae544b711,2020-100mb00000000533-e895f279639811,Sanju Samson,2021-100mb00000000583-8f4c0c4491dd11,Vaibhav Arora,,2,Two,3,0,0,Zero,0,0,0,0,1,0,0,0,0,0,0,0,0,,,RRVSKKR26032025-RR-Inn1-Over2-Ball3.mp4,0,Over 1.3,1.3,Vaibhav Arora TO Sanju Samson,Vaibhav Arora to Sanju Samson - DOT BALL !!!,"Vaibhav Arora bowling to Sanju Samson, short of good length ball, pitching outside off stump, Sanju Samson plays a defensive back foot push, no run towards Short Extra Covers","Vaibhav Arora bowling to Sanju Samson, short of good length ball, pitching outside off stump, Sanju Samson plays a defensive back foot push, no run towards Short Extra Covers",1,1,0,,600599,-62.00,47.00,0,0,,39,ANGLED IN,97,BACKFOOT PUSH,0,0,3,1,10,0,Outside Off stump,Short of Good Length,0,2021-100mb00000000583-8f4c0c4491dd11 - 0,0,0,0,0,0,0,0
0AC79866-3E57-488F-8CAE-DE9E8D7822F6,600600,4,1804,1,18,Rajasthan Royals,2019-100mb00000000190-c62cbae544b711,2020-100mb00000000533-e895f279639811,Sanju Samson,2021-100mb00000000583-8f4c0c4491dd11,Vaibhav Arora,,2,Two,4,2,2,Two,2,0,1,0,0,0,0,0,0,0,0,0,0,,,RRVSKKR26032025-RR-Inn1-Over2-Ball4.mp4,0,Over 1.4,1.4,Vaibhav Arora TO Sanju Samson,Vaibhav Arora to Sanju Samson - TWO RUNS !!!,"Vaibhav Arora bowling to Sanju Samson, good length ball, pitching outside off stump, Sanju Samson uncomfortably  plays an aggressive lofted on drive on the front foot for 2 runs","Vaibhav Arora bowling to Sanju Samson, good length ball, pitching outside off stump, Sanju Samson uncomfortably  plays an aggressive lofted on drive on the front foot for 2 runs",1,1,0,,600600,60.00,189.50,2,0,,41,INSWINGER,11,LOFTED ON DRIVE,0,0,4,1,12,0,Outside Off stump,Good Length,0,2021-100mb00000000583-8f4c0c4491dd11 - 0,0,0,0,0,0,0,0
